name,year,value
Mental disorders,1994,0.014479043
Substance use disorders,1994,33.28266881
Diabetes and kidney diseases,1994,941.1424258
Neglected tropical diseases and malaria,1995,17.10683045
Neurological disorders,1995,572.1815062
Mental disorders,1995,0.014952791
Substance use disorders,1995,34.46441994
Diabetes and kidney diseases,1995,942.6075781
Chronic respiratory diseases,1995,532.7771028
Digestive diseases,1995,640.993226
HIV/AIDS and sexually transmitted infections,1995,64.10754495
Respiratory infections and tuberculosis,1995,1122.98698
Enteric infections,1995,467.2663026
Other infectious diseases,1995,296.7115396
Maternal and neonatal disorders,1995,3677.495873
Neoplasms,1995,1611.049566
Cardiovascular diseases,1995,4856.755851
Unintentional injuries,1995,1488.834637
Self-harm and interpersonal violence,1995,153.0480032
Nutritional deficiencies,1995,46.83185668
Musculoskeletal disorders,1995,16.0511934
Other non-communicable diseases,1995,2709.49347
Skin and subcutaneous diseases,1995,32.81198932
Transport injuries,1995,2007.047504
Neglected tropical diseases and malaria,1996,15.15140285
Self-harm and interpersonal violence,1996,153.209823
Substance use disorders,1996,35.68895776
Diabetes and kidney diseases,1996,942.2211066
Neurological disorders,1996,571.9599614
Mental disorders,1996,0.015469177
Cardiovascular diseases,1996,4781.67172
Unintentional injuries,1996,1451.407367
Neoplasms,1996,1606.545192
Nutritional deficiencies,1997,37.68642424
Musculoskeletal disorders,1997,15.87553372
Other non-communicable diseases,1997,2383.258468
Skin and subcutaneous diseases,1997,33.99051205
Transport injuries,1997,1929.785205
Chronic respiratory diseases,1996,520.7372082
Neoplasms,1997,1597.29398
Digestive diseases,1996,622.3899825
Nutritional deficiencies,1996,41.5402294
Musculoskeletal disorders,1996,15.98738142
Nutritional deficiencies,1998,33.71113833
Neglected tropical diseases and malaria,1997,13.59793037
Neoplasms,1998,1588.003929
Neoplasms,1999,1573.21182
Chronic respiratory diseases,1999,494.9991403
Chronic respiratory diseases,1998,501.1137339
Digestive diseases,1998,589.4603996
Cardiovascular diseases,1997,4705.187318
Unintentional injuries,1997,1492.493307
Chronic respiratory diseases,1997,509.817455
Digestive diseases,1997,604.676829
Digestive diseases,1999,578.0287216
Cardiovascular diseases,1998,4648.920407
Unintentional injuries,1998,1389.61544
Neglected tropical diseases and malaria,1998,12.44302157
Neurological disorders,1998,573.0083472
Nutritional deficiencies,1999,30.54785696
Neglected tropical diseases and malaria,1999,11.41294875
Neurological disorders,1999,574.6434132
HIV/AIDS and sexually transmitted infections,1996,66.97635914
Respiratory infections and tuberculosis,1996,1074.777034
Enteric infections,1996,405.4214377
Other infectious diseases,1996,288.4045862
Maternal and neonatal disorders,1996,3536.575906
Self-harm and interpersonal violence,1997,148.7731353
Neurological disorders,1997,572.3167541
Mental disorders,1997,0.015802117
Neglected tropical diseases and malaria,2000,10.58488088
Musculoskeletal disorders,1998,15.81386478
Other non-communicable diseases,1998,2234.817285
Chronic respiratory diseases,2000,490.7132477
Cardiovascular diseases,1999,4619.135098
Unintentional injuries,1999,1335.823867
Self-harm and interpersonal violence,1998,147.8635033
Other non-communicable diseases,1996,2543.609252
Skin and subcutaneous diseases,1996,33.41486552
Transport injuries,1996,1964.858969
Nutritional deficiencies,2000,27.70710259
Neoplasms,2002,1577.538539
Neoplasms,2001,1549.021828
Neoplasms,2000,1563.234691
Nutritional deficiencies,2001,26.13630808
Self-harm and interpersonal violence,1999,147.4986976
HIV/AIDS and sexually transmitted infections,1997,70.03984109
Respiratory infections and tuberculosis,1997,1031.280752
Enteric infections,1997,353.1983144
Other infectious diseases,1997,274.0079498
Maternal and neonatal disorders,1997,3393.133955
Substance use disorders,1997,36.93277767
Diabetes and kidney diseases,1997,942.9294922
Digestive diseases,2000,567.0975127
HIV/AIDS and sexually transmitted infections,1998,73.43895974
Respiratory infections and tuberculosis,1998,994.7336352
Enteric infections,1998,311.4703774
Other infectious diseases,1998,260.2143068
Maternal and neonatal disorders,1998,3258.057862
Mental disorders,1998,0.016136823
Substance use disorders,1998,38.44090277
Diabetes and kidney diseases,1998,944.5018483
HIV/AIDS and sexually transmitted infections,1999,80.35738749
Respiratory infections and tuberculosis,1999,963.9442008
Enteric infections,1999,281.4505906
Other infectious diseases,1999,225.1765573
Maternal and neonatal disorders,1999,3109.950627
Neurological disorders,2000,578.9204034
Mental disorders,2000,0.013236785
Skin and subcutaneous diseases,1998,34.63005697
Transport injuries,1998,1890.862324
Cardiovascular diseases,2002,4772.830281
Unintentional injuries,2002,1284.066148
Chronic respiratory diseases,2002,478.0769684
Digestive diseases,2002,572.8499
Neglected tropical diseases and malaria,2002,8.213410122
Nutritional deficiencies,2002,24.74281331
Musculoskeletal disorders,2002,16.46244446
Neoplasms,2003,1596.236527
Mental disorders,1999,0.014668291
Substance use disorders,1999,40.02776488
Diabetes and kidney diseases,1999,944.2441916
Chronic respiratory diseases,2001,475.302387
Digestive diseases,2001,566.2912775
Chronic respiratory diseases,2003,481.805086
Neglected tropical diseases and malaria,2003,7.685006873
Self-harm and interpersonal violence,2002,152.8211016
Musculoskeletal disorders,1999,15.78007795
Other non-communicable diseases,1999,2099.80733
Skin and subcutaneous diseases,1999,35.3333605
Transport injuries,1999,1866.050363
Neglected tropical diseases and malaria,2001,8.959129912
Neurological disorders,2001,579.7396984
Mental disorders,2001,0.012774376
Nutritional deficiencies,2004,19.88536215
Substance use disorders,2000,42.36648483
Diabetes and kidney diseases,2000,951.5144364
Musculoskeletal disorders,2001,15.94219498
Other non-communicable diseases,2001,1843.139436
Neoplasms,2005,1643.609095
Cardiovascular diseases,2000,4619.052351
Unintentional injuries,2000,1293.803456
Self-harm and interpersonal violence,2000,148.4522851
HIV/AIDS and sexually transmitted infections,2002,104.4693586
Respiratory infections and tuberculosis,2002,894.2560576
Enteric infections,2002,208.4256136
Neoplasms,2004,1603.021889
Nutritional deficiencies,2003,22.49981836
HIV/AIDS and sexually transmitted infections,2001,98.11952725
Respiratory infections and tuberculosis,2001,898.6821122
Enteric infections,2001,229.3134411
Digestive diseases,2003,568.0701147
Neurological disorders,2002,592.8447827
Mental disorders,2002,0.013125723
Chronic respiratory diseases,2004,479.1820029
Digestive diseases,2004,550.7460025
Cardiovascular diseases,2003,4861.657952
Unintentional injuries,2003,1289.356452
Cardiovascular diseases,2001,4617.092005
Unintentional injuries,2001,1281.97746
Self-harm and interpersonal violence,2001,148.9374322
Neoplasms,2006,1656.050634
Chronic respiratory diseases,2006,484.2840609
Chronic respiratory diseases,2005,483.3982391
HIV/AIDS and sexually transmitted infections,2000,90.01098114
Respiratory infections and tuberculosis,2000,934.8348994
Enteric infections,2000,251.7424107
Other infectious diseases,2000,210.8386573
Maternal and neonatal disorders,2000,2956.011419
Substance use disorders,2001,42.48563489
Diabetes and kidney diseases,2001,933.0368541
Nutritional deficiencies,2005,18.12773421
Musculoskeletal disorders,2005,16.69210743
Other infectious diseases,2002,169.4221505
Maternal and neonatal disorders,2002,2671.410669
Other infectious diseases,2001,184.6572694
Maternal and neonatal disorders,2001,2813.669828
Nutritional deficiencies,2010,13.256938
Transport injuries,2010,1720.129624
Musculoskeletal disorders,2010,16.95666594
Other non-communicable diseases,2010,1086.593129
Skin and subcutaneous diseases,2010,50.02342939
Chronic respiratory diseases,2010,491.4011556
Digestive diseases,2010,532.0895163
HIV/AIDS and sexually transmitted infections,2010,102.6785743
Respiratory infections and tuberculosis,2010,785.7077665
Enteric infections,2010,90.48734806
Other infectious diseases,2010,111.4234132
Maternal and neonatal disorders,2010,1412.184244
Neglected tropical diseases and malaria,2006,6.66063884
Nutritional deficiencies,2006,16.98876079
Neglected tropical diseases and malaria,2004,7.268424839
Neurological disorders,2004,612.1496745
Mental disorders,2004,0.014535349
Neoplasms,2010,1848.199324
Cardiovascular diseases,2010,5450.226568
Unintentional injuries,2010,1079.95177
Self-harm and interpersonal violence,2010,162.321824
Substance use disorders,2002,46.23742174
Diabetes and kidney diseases,2002,954.0913833
Cardiovascular diseases,2004,4941.493429
Unintentional injuries,2004,1275.6503
Musculoskeletal disorders,2000,15.83598138
Other non-communicable diseases,2000,1960.522904
Skin and subcutaneous diseases,2000,36.37982827
Transport injuries,2000,1844.172687
Digestive diseases,2005,541.8740966
Neoplasms,2007,1715.103486
Neglected tropical diseases and malaria,2005,6.891627686
Neurological disorders,2005,626.6267904
Neoplasms,2011,1845.376795
Neglected tropical diseases and malaria,2011,4.783755274
Neurological disorders,2011,671.4081906
Mental disorders,2011,0.024521183
Substance use disorders,2011,56.6630281
Diabetes and kidney diseases,2011,973.482513
Cardiovascular diseases,2011,5387.956294
Unintentional injuries,2011,1055.119756
Self-harm and interpersonal violence,2011,164.5453343
Skin and subcutaneous diseases,2001,36.06394112
Transport injuries,2001,1832.389892
Neglected tropical diseases and malaria,2007,6.345116605
Chronic respiratory diseases,2011,481.7697069
Digestive diseases,2011,521.3820389
HIV/AIDS and sexually transmitted infections,2011,100.2291924
Respiratory infections and tuberculosis,2011,763.232842
Enteric infections,2011,82.66076386
Other infectious diseases,2011,107.8160886
Maternal and neonatal disorders,2011,1314.737963
Neurological disorders,2003,604.18463
Mental disorders,2003,0.013725018
Other non-communicable diseases,2002,1747.370174
Skin and subcutaneous diseases,2002,36.77984726
Transport injuries,2002,1889.241897
Self-harm and interpersonal violence,2003,174.1279251
Cardiovascular diseases,2005,5114.810573
Unintentional injuries,2005,1211.03946
Self-harm and interpersonal violence,2004,192.1081321
Musculoskeletal disorders,2003,16.77801405
Other non-communicable diseases,2003,1646.785382
Skin and subcutaneous diseases,2003,38.0574446
Self-harm and interpersonal violence,2013,166.2663701
Neoplasms,2013,1799.48823
Cardiovascular diseases,2013,5100.008078
Unintentional injuries,2013,1012.71804
Other non-communicable diseases,2012,950.5886037
Skin and subcutaneous diseases,2012,51.30779953
Transport injuries,2012,1671.301798
Nutritional deficiencies,2007,15.92149085
Digestive diseases,2006,530.1339319
HIV/AIDS and sexually transmitted infections,2012,97.62616192
Respiratory infections and tuberculosis,2012,734.2173113
Enteric infections,2012,76.18028967
Other infectious diseases,2012,101.037729
Maternal and neonatal disorders,2012,1230.454506
Chronic respiratory diseases,2012,466.0825209
Nutritional deficiencies,2012,11.58272798
Musculoskeletal disorders,2012,16.77747861
Neglected tropical diseases and malaria,2009,5.619782985
Neglected tropical diseases and malaria,2012,4.365186348
Neurological disorders,2012,658.1106725
Mental disorders,2012,0.026450112
Digestive diseases,2012,507.2359506
Substance use disorders,2012,59.00987282
Diabetes and kidney diseases,2012,956.6305404
Neglected tropical diseases and malaria,2013,4.102530007
Neurological disorders,2013,646.0394108
Mental disorders,2013,0.028786102
Substance use disorders,2013,61.34538895
Diabetes and kidney diseases,2013,936.333556
Neglected tropical diseases and malaria,2008,5.997244585
Neurological disorders,2008,662.5316742
Neoplasms,2009,1815.866062
Nutritional deficiencies,2008,15.00057344
Neurological disorders,2006,639.032745
Mental disorders,2006,0.016868531
Nutritional deficiencies,2013,10.78064496
Musculoskeletal disorders,2013,16.73696353
Other non-communicable diseases,2013,891.5899227
Skin and subcutaneous diseases,2013,51.57086411
Transport injuries,2013,1663.75347
Chronic respiratory diseases,2014,431.0520178
Digestive diseases,2014,478.5886384
HIV/AIDS and sexually transmitted infections,2014,92.91504635
Respiratory infections and tuberculosis,2014,670.6266356
Enteric infections,2014,65.42811272
Other infectious diseases,2014,94.55161497
Maternal and neonatal disorders,2014,1091.331304
Transport injuries,2003,1882.472875
Chronic respiratory diseases,2008,492.3636524
Digestive diseases,2008,531.0093179
Nutritional deficiencies,2009,14.14197169
Nutritional deficiencies,2014,10.0254084
Musculoskeletal disorders,2014,16.79108617
Other non-communicable diseases,2014,839.5199666
Skin and subcutaneous diseases,2014,51.68595328
Transport injuries,2014,1638.246194
Chronic respiratory diseases,2007,488.207577
Digestive diseases,2007,528.8677232
Cardiovascular diseases,2006,5232.928759
Unintentional injuries,2006,1259.885585
HIV/AIDS and sexually transmitted infections,2005,112.8521479
Respiratory infections and tuberculosis,2005,848.1569142
Enteric infections,2005,151.2963583
Other infectious diseases,2005,148.6968705
Maternal and neonatal disorders,2005,2116.481691
HIV/AIDS and sexually transmitted infections,2003,109.1794214
Respiratory infections and tuberculosis,2003,880.7634027
Enteric infections,2003,188.8984559
Other infectious diseases,2003,163.8707441
Maternal and neonatal disorders,2003,2500.306378
Substance use disorders,2004,41.56080207
Diabetes and kidney diseases,2004,935.5414907
HIV/AIDS and sexually transmitted infections,2004,111.7338472
Respiratory infections and tuberculosis,2004,856.4688262
Enteric infections,2004,168.4684457
Other infectious diseases,2004,157.8083875
Maternal and neonatal disorders,2004,2301.352239
Musculoskeletal disorders,2004,16.57331176
Other non-communicable diseases,2004,1554.435004
Skin and subcutaneous diseases,2004,39.85387821
Neoplasms,2008,1771.90568
Self-harm and interpersonal violence,2005,165.5386246
Self-harm and interpersonal violence,2014,171.1180881
Neoplasms,2014,1775.361521
Cardiovascular diseases,2014,4912.161175
Unintentional injuries,2014,986.5485126
Neglected tropical diseases and malaria,2015,3.829661368
Neurological disorders,2015,627.2919644
Mental disorders,2015,0.034351257
Substance use disorders,2015,65.71166387
Diabetes and kidney diseases,2015,900.0502629
Mental disorders,2005,0.015718603
Substance use disorders,2005,40.45491819
Diabetes and kidney diseases,2005,938.3892673
Substance use disorders,2003,46.25296626
Diabetes and kidney diseases,2003,956.0966469
Neglected tropical diseases and malaria,2010,5.078458288
Neurological disorders,2010,679.8840587
Mental disorders,2010,0.022733065
Substance use disorders,2010,54.09861417
Diabetes and kidney diseases,2010,980.1403056
Chronic respiratory diseases,2009,493.4964042
Nutritional deficiencies,2016,8.832631476
Musculoskeletal disorders,2016,16.62195685
Other non-communicable diseases,2016,749.6649899
Skin and subcutaneous diseases,2016,50.85726368
Transport injuries,2016,1568.184261
Cardiovascular diseases,2007,5300.225062
Unintentional injuries,2007,1157.6602
Self-harm and interpersonal violence,2007,161.1809558
Substance use disorders,2006,41.63401817
Diabetes and kidney diseases,2006,951.3087563
Chronic respiratory diseases,2015,412.8402367
Chronic respiratory diseases,2016,398.502149
Digestive diseases,2015,462.0935033
Digestive diseases,2016,449.5588592
HIV/AIDS and sexually transmitted infections,2016,88.51587363
Respiratory infections and tuberculosis,2016,615.8278982
Enteric infections,2016,56.98008842
Other infectious diseases,2016,89.33966363
Maternal and neonatal disorders,2016,972.0977057
Neoplasms,2015,1745.988066
HIV/AIDS and sexually transmitted infections,2015,90.43521195
Respiratory infections and tuberculosis,2015,640.1802445
Enteric infections,2015,60.72360718
Other infectious diseases,2015,91.66635785
Maternal and neonatal disorders,2015,1027.840132
Nutritional deficiencies,2011,12.39648261
Musculoskeletal disorders,2011,16.88295939
Transport injuries,2004,1869.838796
Other non-communicable diseases,2011,1015.500319
Skin and subcutaneous diseases,2011,50.83877103
Transport injuries,2011,1695.848533
Cardiovascular diseases,2009,5437.682418
Unintentional injuries,2009,1127.93844
Neurological disorders,2007,648.0793014
Mental disorders,2007,0.018246471
Neurological disorders,2009,674.6277449
Mental disorders,2009,0.021128005
Self-harm and interpersonal violence,2006,162.3353802
Neglected tropical diseases and malaria,2016,3.73747558
Neurological disorders,2016,618.0776758
Mental disorders,2016,0.037107723
Substance use disorders,2016,67.78324624
Diabetes and kidney diseases,2016,884.5443429
Cardiovascular diseases,2008,5385.185984
Unintentional injuries,2008,1118.988938
Digestive diseases,2009,532.90549
Musculoskeletal disorders,2007,16.94615622
Other non-communicable diseases,2007,1304.023678
HIV/AIDS and sexually transmitted infections,2008,108.1875536
Respiratory infections and tuberculosis,2008,815.1743221
Enteric infections,2008,109.3457304
Musculoskeletal disorders,2008,17.02341545
Other non-communicable diseases,2008,1227.992046
Other non-communicable diseases,2005,1471.945889
Skin and subcutaneous diseases,2005,41.69284219
Transport injuries,2005,1878.320412
HIV/AIDS and sexually transmitted infections,2006,112.0706525
Respiratory infections and tuberculosis,2006,832.3513971
Enteric infections,2006,134.4626312
Other infectious diseases,2006,147.9431606
Maternal and neonatal disorders,2006,1935.122286
Cardiovascular diseases,2015,4739.136535
Unintentional injuries,2015,1337.640295
Musculoskeletal disorders,2006,16.82264856
Other non-communicable diseases,2006,1388.322189
Skin and subcutaneous diseases,2006,43.08572667
Transport injuries,2006,1863.074478
Neoplasms,2017,1692.588978
Neglected tropical diseases and malaria,2017,3.607646019
Neurological disorders,2017,611.3291703
Mental disorders,2017,0.0401455
Cardiovascular diseases,2017,4461.298881
Unintentional injuries,2017,911.8928532
Self-harm and interpersonal violence,2017,552.9008383
Substance use disorders,2017,69.44778583
Diabetes and kidney diseases,2017,858.3537411
Self-harm and interpersonal violence,2008,160.3448318
Self-harm and interpersonal violence,2015,219.0800487
Self-harm and interpersonal violence,2009,161.3838575
Mental disorders,2008,0.019774494
Substance use disorders,2008,48.68183561
Diabetes and kidney diseases,2008,973.2683697
Neoplasms,2012,1825.179617
Cardiovascular diseases,2012,5260.072998
Unintentional injuries,2012,1038.036593
Self-harm and interpersonal violence,2012,166.6905455
Other infectious diseases,2008,118.870534
Maternal and neonatal disorders,2008,1633.543414
Substance use disorders,2007,45.63233819
Diabetes and kidney diseases,2007,961.182363
Nutritional deficiencies,2017,8.303389879
Substance use disorders,2009,51.316001
Diabetes and kidney diseases,2009,979.5130816
Musculoskeletal disorders,2017,16.40006385
Other non-communicable diseases,2017,694.6127219
Skin and subcutaneous diseases,2017,50.56148221
Transport injuries,2017,1524.399073
Chronic respiratory diseases,2013,448.7134288
Digestive diseases,2013,491.9044824
HIV/AIDS and sexually transmitted infections,2013,95.14085152
Respiratory infections and tuberculosis,2013,702.9695865
Enteric infections,2013,70.31891174
Other infectious diseases,2013,97.64323007
Maternal and neonatal disorders,2013,1157.17042
HIV/AIDS and sexually transmitted infections,2007,110.5750581
Respiratory infections and tuberculosis,2007,822.2854346
Enteric infections,2007,120.8828897
Other infectious diseases,2007,139.8356094
Maternal and neonatal disorders,2007,1778.673871
Skin and subcutaneous diseases,2007,44.57537022
Transport injuries,2007,1836.203395
Skin and subcutaneous diseases,2008,46.54460358
Transport injuries,2008,1778.72582
HIV/AIDS and sexually transmitted infections,2009,105.3979882
Respiratory infections and tuberculosis,2009,800.2978604
Enteric infections,2009,99.43949708
Other infectious diseases,2009,114.2959939
Maternal and neonatal disorders,2009,1515.736304
Neglected tropical diseases and malaria,2014,4.013344109
Neurological disorders,2014,641.0706776
Mental disorders,2014,0.031622535
Substance use disorders,2014,63.65092538
Diabetes and kidney diseases,2014,918.1911293
Musculoskeletal disorders,2009,16.98741142
Other non-communicable diseases,2009,1157.869185
Skin and subcutaneous diseases,2009,48.42521481
Transport injuries,2009,1742.590652
Nutritional deficiencies,2015,9.382116252
Musculoskeletal disorders,2015,16.74058265
Other non-communicable diseases,2015,791.3298705
Skin and subcutaneous diseases,2015,51.21053076
Transport injuries,2015,1604.270429
Neoplasms,2016,1719.015746
Cardiovascular diseases,2016,4589.210175
Unintentional injuries,2016,940.7286835
Self-harm and interpersonal violence,2016,470.7104324
Chronic respiratory diseases,2017,386.8341811
Digestive diseases,2017,440.7175858
HIV/AIDS and sexually transmitted infections,2017,87.43250428
Respiratory infections and tuberculosis,2017,593.7653629
Enteric infections,2017,54.34498142
Other infectious diseases,2017,95.42467825
Maternal and neonatal disorders,2017,900.8454111
